,City,Country,Lat,Lng,Hotel Name
382,basco,PH,20.4487,121.9702,Fundacion Pacita
383,kamyshin,RU,50.0983,45.416,Opava Hotel
384,kenai,US,60.5544,-151.2583,Quality Inn
385,nuevo progreso,US,33.8014,-117.1459,
386,san ramon,ML,13.3034,-4.8956,Hôtel Teriya
387,san quintin,ML,13.3034,-4.8956,Hôtel Teriya
388,peniche,PT,39.3558,-9.3811,Hotel MH Peniche
389,poronaysk,RU,49.2167,143.1167,Avtovokzal Khostel Stolovaya
390,haines city,US,59.2286,-135.4441,Halsingland Hotel
391,saint-augustin,CA,51.226,-58.6502,
392,veraval,IN,20.9,70.3667,Lords Inn Somnath
393,requena,ES,39.4883,-1.1004,Hotel la Villa
394,bargarh,IN,21.3333,83.6167,Hotel Oriental
395,ulundi,ZA,-28.3352,31.4162,Garden Court Ulundi
396,tomino,ES,41.9877,-8.755,INATEL Cerveira Hotel
397,waddan,LY,29.1614,16.139,
398,nurota,UZ,40.5614,65.6886,Guest House Ruslan Nurata & Tours
399,longyearbyen,SJ,78.2186,15.6401,Mary-Ann's Polarrigg
400,constitucion,CL,-35.3333,-72.4167,Hotel Montt Plaza
401,kaitangata,NZ,-46.2817,169.8464,
402,hirara,JP,24.8,125.2833,HOTEL LOCAL BASE
403,kasongo-lunda,CD,-6.4667,16.8167,
404,bilibino,RU,68.0546,166.4372,Profilaktoriy Baes
405,asfi,MA,32.2994,-9.2372,Hotel Assif
406,inta,RU,66.0317,60.1659,Отель Инта
407,madan,BG,41.5,24.95,
408,gombong,ID,-7.6072,109.5142,OYO 90385 Hotel Cadaka
409,vrangel,RU,42.7297,133.0839,Gostinichnyy Kompleks Vostok
410,rawson,AR,-43.3002,-65.1023,Hosteria Sampedro
411,denpasar,ID,-8.65,115.2167,Segara Village Hotel
412,yeppoon,AU,-23.1333,150.7333,Coral Inn Boutique Hotel
413,angren,UZ,41.0167,70.1436,IMKON HOTEL
414,norman wells,US,35.2226,-97.4395,"Holiday Inn Express & Suites Norman, an IHG Hotel"
415,kattivakkam,IN,13.2167,80.3167,
416,vestmannaeyjar,IS,63.4427,-20.2734,Hotel Vestmannaeyjar
417,san vicente,ML,13.3034,-4.8956,Hôtel Teriya
418,orocue,CO,4.7912,-71.3354,Hotel Macuco
419,palatka,US,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
420,granada,ES,37.25,-3.25,
421,sambava,MG,-14.2667,50.1667,Hôtel Las Palmas
422,dandong,CN,40.1292,124.3947,Hilton Garden Inn Dandong
423,logumkloster,DK,55.0594,8.9551,Løgumkloster Refugium
424,zemio,CF,5.0314,25.1361,
425,farafangana,MG,-22.8167,47.8333,Tsaravatsy Hotel
426,dong hoi,CM,4.895,12.0057,
427,ixtapa,MX,20.7,-105.2,Flamingo Vallarta Hotel & Marina
428,popondetta,PG,-8.7537,148.2534,Comfort Inn
429,makubetsu,JP,45.3714,141.8211,
430,komsomolskiy,UZ,40.4272,71.7189,Diyor hotel
431,birobidzhan,RU,48.8,132.95,Hotel Central (Vostok)
432,kang,BW,-23.6752,22.7876,Nakabu Hotel
433,laon,FR,49.5667,3.6667,ibis Laon
434,maseru,LS,-29.3167,27.4833,Avani Lesotho Hotel & Casino
435,cape coast,CL,-36.413,-71.9028,Hotel Molino Viejo
436,camacha,PT,33.0833,-16.3333,Vila Baleira Resort
437,uribia,CO,11.7139,-72.266,Hotel Juyasirain
438,sembe,CG,1.6481,14.5806,
439,aztec,US,36.8222,-107.9929,Presidential Inn & Suites
440,sibu,MY,2.3,111.8167,Kingwood Hotel (Sibu) Sdn Bhd
441,asau,RO,46.4333,26.4,Pensiunea Sophia
442,divnomorskoye,RU,44.5011,38.1353,Grey`s Hotel
443,kavieng,PG,-2.5744,150.7967,Nusa Island Retreat
444,ekibastuz,KZ,51.6667,75.3667,Gostinichnyy Kompleks Amiliya
445,baherden,TM,38.4362,57.4316,
446,malu mare,AU,-27.35,151.5667,The Woolshed at Jondaryan
447,brenham,US,30.1669,-96.3977,"Holiday Inn Express & Suites Brenham South, an IHG Hotel"
448,port macquarie,CD,-7.0349,29.7638,Hotel Keyanike
449,koulikoro,ML,14.0,-7.75,
450,poso,ID,-1.3959,120.7524,Ancyra Hotel By Continent - Poso
451,hovd,MN,48.0056,91.6419,Steppe hotel
